#Gaia Source ID, RA, Dec, SNR, Gmag, RV, RVerr, FeH, FeHerr
2362404846580059648 ,   9.109642 , -20.418631 ,  21.2  , 16.48  ,  -148.16 ,  2.91 ,       ,       
2362395599515154816 ,   9.387846 , -20.461972 ,   3.7  , 19.56  ,  -142.35 ,  7.34 ,       ,       
2350314513642106624 ,   9.890383 , -20.839192 ,  17.9  , 17.72  ,  -148.30 ,  1.28 , -2.28 ,  0.26 
2350310424833246592 ,   9.974475 , -20.892894 ,  32.5  , 16.83  ,  -156.83 ,  0.90 ,       ,       
2350245137034340864 ,  10.193825 , -21.129194 ,   7.2  , 18.26  ,  -147.61 ,  3.77 ,       ,       
2350348972163836160 ,  11.151796 , -21.480250 ,  36.5  , 16.55  ,  -144.90 ,  0.80 , -2.17 ,  0.15 
2349548630777593344 ,  11.609142 , -22.164725 ,   8.8  , 18.50  ,  -141.97 ,  2.20 , -2.35 ,  0.53 
2349572579516107264 ,  11.654787 , -21.817247 ,   4.9  , 18.99  ,  -142.44 ,  5.29 ,       ,       
2349268564550587904 ,  12.229042 , -22.749461 ,  22.9  , 16.38  ,  -134.19 ,  1.02 , -2.58 ,  0.19 
2349229398743966976 ,  13.115875 , -22.792203 ,   6.2  , 17.09  ,  -126.99 ,  7.98 ,       ,       
2349229330024490496 ,  13.121571 , -22.804617 ,   7.5  , 17.82  ,  -132.77 ,  3.05 ,       ,       
2349241111119998720 ,  13.161508 , -22.616203 ,   7.3  , 17.16  ,  -141.40 ,  6.86 ,       ,       
2346224467824940544 ,  13.247183 , -22.904297 ,  24.3  , 16.19  ,  -130.55 ,  0.99 , -2.20 ,  0.18 
2346231507276516864 ,  13.248204 , -22.849342 ,   5.6  , 18.08  ,  -132.91 ,  5.26 ,       ,       
2346221405513412096 ,  13.260358 , -22.930367 ,   6.5  , 17.97  ,  -128.55 ,  3.86 ,       ,       
2346142279330813312 ,  13.976196 , -23.251867 ,   9.4  , 16.67  ,  -120.28 ,  3.99 ,       ,       
2345957664457105408 ,  14.666996 , -23.863797 ,  49.8  , 15.55  ,  -130.80 ,  0.74 , -2.19 ,  0.12 
2344905255735090944 ,  15.874829 , -24.689711 ,   6.5  , 18.64  ,  -124.95 ,  4.38 ,       ,       
5034947868558961408 ,  17.317954 , -25.139658 ,  10.7  , 17.17  ,  -118.27 ,  3.47 ,       ,       
5040976937490509184 ,  17.804271 , -24.746739 ,  41.5  , 15.90  ,  -118.49 ,  0.76 , -2.26 ,  0.13 
5040672574632257920 ,  18.060650 , -25.727583 ,   4.0  , 18.13  ,  -127.37 ,  7.59 ,       ,       
5040671754294144512 ,  18.091000 , -25.747819 ,  28.6  , 15.99  ,  -115.92 ,  0.94 , -2.27 ,  0.16 
5034653611759500160 ,  18.135217 , -25.865839 ,  17.7  , 16.86  ,  -117.19 ,  1.35 , -2.15 ,  0.23 
5033893299468726656 ,  18.315800 , -26.112589 ,  32.4  , 16.21  ,  -115.33 ,  0.86 , -2.26 ,  0.14 
5033819563470215296 ,  18.654975 , -26.549133 ,  20.0  , 17.06  ,  -113.54 ,  1.34 ,       ,       
5039937417965798656 ,  18.719708 , -25.649181 ,  16.8  , 17.12  ,  -124.74 ,  1.87 ,       ,       
5039838702437479936 ,  19.112900 , -26.116931 ,  53.9  , 15.59  ,  -114.46 ,  0.72 , -2.11 ,  0.12 
5040039054071916672 ,  19.175971 , -25.368739 ,  28.5  , 16.35  ,  -107.21 ,  0.93 , -2.11 ,  0.20 
5039851312461480960 ,  19.326725 , -26.094203 ,  24.5  , 16.89  ,  -113.64 ,  1.04 , -1.96 ,  0.18 
5039641305740677888 ,  19.630046 , -26.376947 ,   6.1  , 18.58  ,  -113.74 ,  4.23 ,       ,       
5039633604864050048 ,  19.678817 , -26.591158 ,  11.4  , 17.26  ,  -109.58 ,  3.67 ,       ,       
5036538552646587904 ,  20.369287 , -27.211475 ,  32.9  , 16.48  ,  -108.32 ,  0.87 , -2.28 ,  0.14 
5036441207212180096 ,  20.610967 , -27.706139 ,   6.4  , 18.80  ,  -109.17 ,  5.25 ,       ,       
5036649942622417792 ,  20.728729 , -26.706369 ,  11.8  , 17.78  ,  -105.54 ,  1.81 , -2.00 ,  0.26 
5036681832755426560 ,  21.119537 , -26.421700 ,  17.4  , 16.60  ,   -99.28 ,  1.56 , -2.04 ,  0.16 
5036582979788129024 ,  21.283700 , -27.014494 ,  20.4  , 17.32  ,   -99.36 ,  0.98 , -2.29 ,  0.18 
5036379634560730368 ,  21.311962 , -27.374039 ,   2.6  , 19.07  ,  -106.85 ,  9.00 ,       ,       
5036381597361539712 ,  21.358825 , -27.308942 ,  16.6  , 17.18  ,  -105.29 ,  1.38 , -2.12 ,  0.22 
5036291776710108800 ,  21.847692 , -27.870422 ,   3.5  , 17.46  ,   -80.43 , 20.88 ,       ,       
5036293464632658048 ,  21.906229 , -27.816825 ,  26.0  , 16.73  ,   -98.97 ,  1.13 , -2.20 ,  0.15 
5035461885949017984 ,  22.598071 , -28.230992 ,   4.0  , 19.28  ,   -96.61 ,  6.93 ,       ,       
5023147153855340416 ,  23.670350 , -29.264217 ,   6.7  , 17.27  ,   -91.08 ,  8.59 ,       ,       
5022762599663670784 ,  24.075925 , -30.179747 ,  25.9  , 17.30  ,   -91.57 ,  1.02 , -2.32 ,  0.15 
5023099561321815808 ,  24.341750 , -29.503547 ,  11.7  , 18.34  ,   -85.06 ,  2.34 , -2.26 ,  0.37 
5022900068681337344 ,  24.654033 , -29.689425 ,   4.6  , 19.20  ,   -86.21 ,  5.00 ,       ,       
5022841901939606144 ,  24.956558 , -29.973869 ,  19.5  , 17.36  ,   -85.09 ,  1.13 , -2.22 ,  0.24 
5022844307121290752 ,  25.036125 , -29.870711 ,  75.9  , 14.96  ,   -85.47 ,  0.68 , -2.22 ,  0.11 
5022824584631471872 ,  25.117783 , -30.124369 ,  43.8  , 15.95  ,   -84.84 ,  0.76 , -2.24 ,  0.12 
5022074919564478208 ,  25.365154 , -30.111094 ,  15.5  , 17.92  ,   -81.70 ,  1.66 ,       ,       
5022052482655230208 ,  25.606113 , -30.397406 ,   4.0  , 18.72  ,   -85.77 ,  5.24 ,       ,       
5022381653244104704 ,  25.750925 , -30.328581 ,   5.9  , 18.40  ,   -86.98 ,  4.38 ,       ,       
5022383646108929280 ,  25.768738 , -30.263150 ,   9.1  , 17.61  ,   -82.62 ,  2.63 , -2.43 ,  0.46 
5022162060156193536 ,  26.439896 , -30.642075 ,  20.0  , 16.57  ,   -80.17 ,  1.11 , -2.28 ,  0.19 
5019037312534021376 ,  27.663087 , -31.334714 ,   8.7  , 18.83  ,   -72.62 ,  2.67 , -2.03 ,  0.34 
5018779653152167168 ,  27.951975 , -32.161706 ,  14.2  , 18.38  ,   -75.30 ,  1.55 , -2.06 ,  0.14 
