#Gaia Source ID, RA, Dec, SNR, Gmag, RV, RVerr, FeH, FeHerr
5018812118808572800 ,  28.094058 , -31.854194 ,  18.9  , 17.49  ,   -75.99 ,  2.07 ,       ,       
5018746526068215424 ,  28.695833 , -32.078544 ,   9.4  , 18.98  ,   -66.82 ,  3.40 , -1.93 ,  0.29 
5018088777596976512 ,  28.906821 , -32.082372 ,  22.1  , 18.22  ,   -68.18 ,  1.13 , -2.32 ,  0.23 
5017989409233601280 ,  28.942475 , -32.265700 ,  10.5  , 18.07  ,   -70.76 ,  2.68 , -2.54 ,  0.17 
5018090839181310720 ,  28.978117 , -32.024297 ,   6.5  , 19.57  ,   -68.56 ,  4.42 ,       ,       
5018070605590948864 ,  29.161683 , -32.272858 ,  21.1  , 17.40  ,   -66.38 ,  1.13 , -2.10 ,  0.19 
5018003535381679488 ,  29.552971 , -32.490864 ,  45.5  , 16.08  ,   -63.35 ,  0.75 , -2.28 ,  0.13 
5017997453707993856 ,  29.616758 , -32.672867 ,  10.4  , 18.51  ,   -52.91 ,  2.42 , -2.19 ,  0.17 
5018005734404964224 ,  29.732063 , -32.497078 ,  17.5  , 17.75  ,   -63.51 ,  1.44 , -2.71 ,  0.35 
5017812216062240512 ,  29.901587 , -32.681794 ,  14.0  , 18.09  ,   -62.84 ,  1.87 , -2.45 ,  0.15 
5017800465031716480 ,  30.095629 , -32.687153 ,  10.3  , 18.44  ,   -62.51 ,  2.46 , -1.95 ,  0.29 
5017720033181172352 ,  30.135733 , -33.275844 ,  16.4  , 17.51  ,   -66.91 ,  2.25 ,       ,       
4969704630977398528 ,  30.771642 , -33.305861 ,  18.5  , 17.39  ,   -70.30 ,  2.33 ,       ,       
4969612791693200512 ,  30.900762 , -33.723892 ,   6.7  , 18.58  ,   -59.90 ,  3.92 ,       ,       
4971220071534578048 ,  31.172654 , -32.841650 ,  39.0  , 16.31  ,   -55.01 ,  0.80 , -2.25 ,  0.13 
4969625363061537536 ,  31.277975 , -33.522197 ,   3.9  , 19.47  ,   -65.68 ,  6.06 ,       ,       
5019461998900236032 ,  31.822883 , -31.355325 ,   7.4  , 17.80  ,   -51.37 ,  4.81 ,       ,       
4971347026471042816 ,  31.893433 , -32.232969 ,  12.8  , 18.25  ,   -46.64 ,  2.09 , -2.60 ,  0.38 
4970977178247907072 ,  32.052317 , -33.124967 ,   6.9  , 18.82  ,   -53.98 ,  2.95 ,       ,       
4971176778264340352 ,  32.284562 , -32.768367 ,  77.5  , 15.39  ,   -52.38 ,  0.70 , -2.22 ,  0.11 
4971328167270778496 ,  32.495479 , -32.094442 ,  39.9  , 15.94  ,   -56.52 ,  0.76 , -2.15 ,  0.12 
4970235699391286016 ,  33.274133 , -33.535181 ,   9.7  , 17.83  ,   -43.16 ,  5.25 ,       ,       
4971029959102390656 ,  33.284788 , -32.950636 ,   8.8  , 19.01  ,   -48.98 ,  2.58 , -2.16 ,  0.18 
4970244873441388160 ,  33.446196 , -33.321703 ,  13.4  , 18.37  ,   -49.81 ,  1.91 , -2.11 ,  0.31 
4970145676876849664 ,  33.743150 , -34.132519 ,  11.1  , 18.50  ,   -48.10 ,  2.16 , -2.35 ,  0.36 
4969961611757057536 ,  34.078850 , -34.106364 ,  42.0  , 16.52  ,   -35.19 ,  0.77 , -2.52 ,  0.13 
4969932298603707776 ,  34.759075 , -33.963078 ,  12.9  , 17.81  ,   -31.75 ,  4.26 ,       ,       
4966867208079439616 ,  34.857942 , -34.747361 ,  14.5  , 16.98  ,   -43.58 ,  1.44 , -2.47 ,  0.29 
4966617580283904256 ,  35.864846 , -35.264242 ,   5.3  , 19.58  ,   -42.91 ,  5.02 ,       ,       
4967189360690011648 ,  35.868538 , -34.876622 ,   6.7  , 19.22  ,   -32.35 ,  3.76 ,       ,       
4966621153696736128 ,  35.969967 , -35.093836 ,   7.9  , 19.27  ,   -48.84 ,  3.42 ,       ,       
4966550239493164160 ,  36.271346 , -35.516136 ,   9.7  , 18.92  ,   -40.63 ,  2.15 ,       ,       
4966915105554905344 ,  36.609163 , -35.373925 ,  66.0  , 15.45  ,   -23.28 ,  0.69 , -2.13 ,  0.11 
4966144274887456512 ,  37.109871 , -35.706761 ,   8.9  , 17.94  ,   -31.39 ,  6.39 ,       ,       
4965425507816824192 ,  37.542496 , -37.029500 ,  28.5  , 17.10  ,   -24.15 ,  0.88 , -2.52 ,  0.19 
4965998903131096192 ,  38.242013 , -35.814825 ,  19.5  , 17.77  ,   -29.75 ,  2.22 ,       ,       
4953695608534281088 ,  38.858888 , -37.375047 ,  18.0  , 16.86  ,   -20.39 ,  1.16 , -2.52 ,  0.19 
4953742509577115520 ,  39.136708 , -37.004128 ,  16.6  , 17.04  ,    -7.92 ,  1.23 , -2.48 ,  0.21 
4953608193063838208 ,  39.737754 , -37.484511 ,   3.6  , 19.22  ,    -5.21 ,  7.85 ,       ,       
4953614790133671168 ,  39.740513 , -37.278122 ,   4.7  , 19.01  ,   -12.47 ,  9.43 ,       ,       
4953548823731740160 ,  40.355254 , -37.571453 ,   6.5  , 18.63  ,   -13.82 ,  4.18 ,       ,       
